Trial,Alpha,Gamma,Epsilon,Recompensa promedio,Mejor
0,0.5023248695769412,0.9030368595549397,0.9057687880561309,-579.5,No
1,0.41317465706097384,0.892932826235619,0.831815916866488,-381.98,No
2,0.5489232119511336,0.8560362014740484,0.9481497843329734,-704.61,No
3,0.16909289350881176,0.9414709421110857,0.6741950742686386,-166.66,No
4,0.3638149344351395,0.8997500099531575,0.22903459298594567,-9.63,No
5,0.8531236332731428,0.7020358563947162,0.20484306531649782,-4.12,No
6,0.2555786831422176,0.9007922742320664,0.18543855855335076,-6.64,No
7,0.3663599017912841,0.7395420039656416,0.19634986881561198,-3.89,No
8,0.23248322556361334,0.8999687435446556,0.10781434798265832,2.64,No
9,0.3066530645570783,0.86911576003409,0.110356917286568,0.7,No
10,0.10611519856931141,0.7947791577285226,0.4113469432781776,-60.39,No
11,0.2146197190238251,0.9836546697342481,0.4183931116298168,-48.16,No
12,0.14972921818956367,0.8133389605089634,0.3672265238927612,-38.96,No
13,0.233500857492468,0.8429683843894804,0.10977359708216529,2.87,No
14,0.19402524665531112,0.7931358073924589,0.6049561929559029,-110.14,No
15,0.10777539275210248,0.8303548450617857,0.31879926698542593,-44.87,No
16,0.27142576957431935,0.9742669262762839,0.10050170705815795,4.33,No
17,0.14863937089698426,0.9774244808615652,0.5343170092209204,-85.69,No
18,0.2885296779589834,0.9463164041575848,0.3074214286769797,-15.26,No
19,0.7990781254977363,0.752019660515413,0.4997131483150322,-60.53,No
20,0.5908865385963078,0.9371031628930995,0.788095031635216,-303.17,No
21,0.23003404836022961,0.873001720699176,0.125864506308066,-5.67,No
22,0.25841959781775453,0.8336496778075408,0.28683085078906806,-19.33,No
23,0.1836711419459247,0.9585337805202041,0.12524458355822482,1.95,No
24,0.1377096407582649,0.9217084739392343,0.10619555061340133,-3.41,No
25,0.34116458512844666,0.9669889586746171,0.2536341034921288,-7.46,No
26,0.45795310185466487,0.8768460721838768,0.18687109243283073,-6.69,No
27,0.22755857031480176,0.9190605753381851,0.35733951136148,-34.9,No
28,0.27697335494398617,0.8435375982213947,0.4456884846366666,-54.1,No
29,0.20019047210387267,0.9248868635610158,0.15396717850347985,-3.82,No
30,0.12537732431857462,0.8084630892144243,0.27297929942067506,-28.66,No
31,0.17491389593025655,0.9597125062646199,0.1523734437076329,-5.81,No
32,0.17339791155819373,0.9673515039691035,0.10137279789728999,1.36,No
33,0.2462680389499233,0.9526599385558705,0.2301947229480184,-8.84,No
34,0.18886283141056595,0.9879964536947525,0.1676497999998337,-4.2,No
35,0.39910771314061183,0.9117068770427637,0.7054851949072443,-174.73,No
36,0.21204817569114262,0.8863272797409261,0.23872431151952683,-14.26,No
37,0.16002303786851443,0.8575547526142486,0.14305438598827472,-9.14,No
38,0.3178230239185308,0.9003201286043506,0.20892992380734088,-7.47,No
39,0.12332629134525984,0.9323659556270153,0.8224147987128135,-398.6,No
40,0.2618643053319153,0.8860614086510574,0.9743117346965156,-756.78,No
41,0.17550820862809163,0.9714568224782666,0.11261118261842618,1.31,No
42,0.2317743678527841,0.9478567960808372,0.17084711905755118,-2.54,No
43,0.1868487290869073,0.9716381441206577,0.12820966987634838,-3.65,No
44,0.29746344609452996,0.9375989766235727,0.21511428469698632,-5.28,No
45,0.16100929435470507,0.9589881466771277,0.17507788558710458,-12.34,No
46,0.2128158427485458,0.9873891404177346,0.10339070970911016,6.91,Yes
47,0.3318541322449003,0.9854896592581055,0.33703517818755013,-24.06,No
48,0.20889439157973358,0.7712306977399346,0.10016742559745184,-0.47,No
49,0.24198819510574843,0.8583044884409421,0.2676849226223771,-12.14,No
